"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"6723","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","BERENJENA, semilla",0.236,"SACHETS","HOLANDA"
"6724","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","SANDIA, semilla",1.648,"SACHETS","EEUU"
"6725","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MELON, semilla",0.814,"SACHETS","HOLANDA"
"6726","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","SANDIA, semilla",33.925,"SACHETS","EEUU"
"6727","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TURBA",25340,"BIG BAG","SUECIA"
"6728","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",86500,"SACO(S)","BOLIVIA"
"6729","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22344,"CAJA(S)","CHILE"
"6730","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23324,"CAJA(S)","CHILE"
"6731","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",83950,"GRANEL","BOLIVIA"
"6732","2022",4,"SANTA ROSA, TACNA","PERA, fruta fresca",6048,"CAJA(S)","CHILE"
"6733","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",17640,"CAJA(S)","CHILE"
"6734","2022",4,"SANTA ROSA, TACNA","PERA, fruta fresca",21024,"CAJA(S)","CHILE"
"6735","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ REVENTON, grano",104000,"SACO(S)","ARGENTINA"
"6736","2022",4,"SANTA ROSA, TACNA","PERA, fruta fresca",2016,"CAJA(S)","CHILE"
"6737","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21560,"CAJA(S)","CHILE"
"6738","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",180000,"SACO(S)","MEXICO"
"6739","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PERA, fruta fresca",23040,"CAJA(S)","CHILE"
"6740","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","NARANJA, fruto fresco",18468,"CAJA(S)","EEUU"
"6741","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",76500,"SACO(S)","BOLIVIA"
"6742","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CANELA, corteza entera seca al natural",12000,"SACO(S)","SRI LANKA"
"6743","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",30000,"SACO(S)","BOLIVIA"
"6744","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",19894,"CAJA(S)","CHILE"
"6745","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CIRUELA, fruto fresco",16800,"CAJA(S)","CHILE"
"6746","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PERA, fruta fresca",22050,"CAJA(S)","ARGENTINA"
"6747","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56000,"GRANEL","BOLIVIA"
"6748","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALPISTE (=PHALARIS), grano",48988,"SACO(S)","CANADA"
"6749","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",83500,"GRANEL","BOLIVIA"
"6750","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TURBA",126500,"FARDOS","LETONIA"
"6751","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TURBA",151555,"FARDOS","LETONIA"
"6752","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"6753","2022",4,"SANTA ROSA, TACNA","KIWI, fruto fresco",4200,"CAJA(S)","CHILE"
"6754","2022",4,"SANTA ROSA, TACNA","PERA, fruta fresca",18144,"CAJA(S)","CHILE"
"6755","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"6756","2022",4,"SANTA ROSA, TACNA","PERA, fruta fresca",6912,"CAJA(S)","CHILE"
"6757","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",16660,"CAJA(S)","CHILE"
"6758","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"6759","2022",4,"SANTA ROSA, TACNA","NECTARINA, fruto fresco",22776,"CAJA(S)","CHILE"
"6760","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","FREJOL, grano",60000,"SACO(S)","BOLIVIA"
"6761","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LOS DEMAS TRACTORES, con motor de potencia superior a 18 kW pero inferior o igual a 37 kW (excepto las carretillas tractor de la partida 87.09), USADOS",6133.291,"UNIDADES","EEUU"
"6762","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","Prensas para paja o forraje, incluidas prensas recogedoras usadas
",6984,"UNIDADES","CANADA"
"6763","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","CEBOLLA, semilla",1.755,"SACHETS","CHILE"
"6764","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","SANDIA, semilla",0.387,"SACHETS","CHILE"
"6765","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",9535.4,"CAJA(S)","CHILE"
"6766","2022",4,"SANTA ROSA, TACNA","CIRUELA, fruto fresco",13624,"CAJA(S)","CHILE"
"6767","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",26500,"SACO(S)","GUATEMALA"
"6768","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"6769","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",53000,"SACO(S)","GUATEMALA"
"6770","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"6771","2022",4,"SANTA ROSA, TACNA","PERA, fruta fresca",3456,"CAJA(S)","CHILE"
"6772","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",20580,"CAJA(S)","CHILE"
"6773","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",18620,"CAJA(S)","CHILE"
"6774","2022",4,"SANTA ROSA, TACNA","PERA, fruta fresca",4410,"CAJA(S)","CHILE"
"6775","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","YUTE, tejido o de las demas fibras textiles con algun proceso de CRF2",204.208,"UNIDADES","INDIA"
"6776","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO OREGON, madera aserrada con algún proceso de la CRF 2",94258,"PAQUETES","EEUU"
"6777","2022",4,"PUESTO DE CONTROL- CEBAF","PIMIENTA, barreduras",6830,"SACO(S)","ECUADOR"
"6778","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",99000,"SACO(S)","BOLIVIA"
"6779","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",98000,"PAQUETES","COLOMBIA"
"6780","2022",4,"SANTA ROSA, TACNA","CANELA, corteza entera seca al natural",6200,"CAJA(S)","SRI LANKA"
"6781","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, grano",6941960,"GRANEL","ARGENTINA"
"6782","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, grano",32522590,"GRANEL","ARGENTINA"
"6783","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",19551,"CAJA(S)","CHILE"
"6784","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CANELA, corteza entera seca al natural",6625,"BOLSAS","SRI LANKA"
"6785","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CANELA, corteza entera seca al natural",4180,"CAJA(S)","SRI LANKA"
"6786","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MADERA, monturas y mangos de herramientas, monturas y mangos de cepillos, brochas o escobas, de madera; hormas, ensanchadores y tensores del calzado, de madera ; con algún proceso de la CRF 2",26915.2,"BOLSAS","CHINA"
"6787","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",12000,"PACAS","COLOMBIA"
"6788","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano quebrantado",57980,"SACO(S)","BOLIVIA"
"6789","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MANI, grano sin cáscara",116000,"SACO(S)","BOLIVIA"
"6790","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",19320,"CAJA(S)","CHILE"
"6791","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"6792","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","LUPULO, pellets",18.75,"SACHETS","EEUU"
"6793","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PERA, fruta fresca",22680,"CAJA(S)","ARGENTINA"
"6794","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","YUTE, sacos",50620,"SACO(S)","INDIA"
"6795","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPA, fécula",20000,"SACO(S)","HOLANDA"
"6796","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22638,"CAJA(S)","CHILE"
"6797","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",98000,"PAQUETES","COLOMBIA"
"6798","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",114500,"SACO(S)","BOLIVIA"
"6799","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MELON, semilla",0.265,"SACHETS","EEUU"
"6800","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","SANDIA, semilla",1.725,"SACHETS","EEUU"
"6801","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TOMATE, semilla",0.173,"SACHETS","EEUU"
"6802","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","SANDIA, semilla",1.892,"SACHETS","HOLANDA"
"6803","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",55130,"GRANEL","BOLIVIA"
"6804","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",84410,"GRANEL","BOLIVIA"
"6805","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84000,"GRANEL","BOLIVIA"
"6806","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPA, fécula",1e+05,"BOLSAS","ALEMANIA"
"6807","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",83750,"GRANEL","BOLIVIA"
"6808","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",116000,"SACO(S)","BOLIVIA"
"6809","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ESPINACA, polvo",2500,"BOLSAS","SERBIA"
"6810","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, semilla",6577,"BOLSAS","EEUU"
"6811","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56500,"GRANEL","BOLIVIA"
"6812","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",83200,"GRANEL","BOLIVIA"
"6813","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",53500,"GRANEL","BOLIVIA"
"6814","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",19061,"CAJA(S)","CHILE"
"6815","2022",4,"SANTA ROSA, TACNA","PERA, fruta fresca",4176,"CAJA(S)","CHILE"
"6816","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MAIZ, semilla",53,"SOBRES","CHILE"
"6817","2022",4,"SANTA ROSA, TACNA","UVA, fruta fresca",18432,"CAJA(S)","CHILE"
"6818","2022",4,"SANTA ROSA, TACNA","UVA, fruta fresca",18432,"CAJA(S)","CHILE"
"6819","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21560,"CAJA(S)","CHILE"
"6820","2022",4,"SANTA ROSA, TACNA","PERA, fruta fresca",2016,"CAJA(S)","CHILE"
"6821","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano mondado, perlado, troceado o quebrantado",96000,"SACO(S)","CHILE"
"6822","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",8120,"CAJA(S)","CHILE"
"6823","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",84210,"GRANEL","BOLIVIA"
"6824","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",53330,"GRANEL","BOLIVIA"
"6825","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",50000,"GRANEL","BOLIVIA"
"6826","2022",4,"SANTA ROSA, TACNA","PERA, fruta fresca",12528,"CAJA(S)","CHILE"
"6827","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",18620,"CAJA(S)","CHILE"
"6828","2022",4,"SANTA ROSA, TACNA","PERA, fruta fresca",4410,"CAJA(S)","CHILE"
"6829","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, almidon",79650,"BOLSAS","ARGENTINA"
"6830","2022",4,"SANTA ROSA, TACNA","PERA, fruta fresca",3024,"CAJA(S)","CHILE"
"6831","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",20580,"CAJA(S)","CHILE"
"6832","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",146000,"SACO(S)","BOLIVIA"
"6833","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22579.2,"CAJA(S)","CHILE"
"6834","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CANELA, corteza entera seca al natural",6200,"CAJA(S)","SRI LANKA"
"6835","2022",4,"SANTA ROSA, TACNA","PERA, fruta fresca",8064,"CAJA(S)","CHILE"
"6836","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",15680,"BULK BAG","CHILE"
"6837","2022",4,"SANTA ROSA, TACNA","PERA, fruta fresca",5292,"CAJA(S)","CHILE"
"6838","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",17640,"CAJA(S)","CHILE"
"6839","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","COL, semilla",148,"LATAS","EEUU"
"6840","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PEPINILLO, semilla",50,"LATAS","EEUU"
"6841","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ZAPALLITO ITALIANO (CALABACIN), semilla",100,"LATAS","EEUU"
"6842","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, almidon",81125,"BOLSAS","ARGENTINA"
"6843","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",57000,"GRANEL","BOLIVIA"
"6844","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",58000,"GRANEL","BOLIVIA"
"6845","2022",4,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",28140,"SACO(S)","BRASIL"
"6846","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TURBA",82070,"BOLSAS","ESTONIA"
"6847","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TURBA",136470,"BOLSAS","ESTONIA"
"6848","2022",4,"PUERTO DE MATARANI , AREQUIPA","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",265000,"SACO(S)","GUATEMALA"
"6849","2022",4,"PUERTO DE MATARANI , AREQUIPA","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",132500,"SACO(S)","COLOMBIA"
"6850","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"6851","2022",4,"PUERTO DE MATARANI , AREQUIPA","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",159000,"SACO(S)","COLOMBIA"
"6852","2022",4,"PUERTO DE MATARANI , AREQUIPA","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",477000,"SACO(S)","COLOMBIA"
"6853","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",22502,"PAQUETES","CHILE"
"6854","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con tratamiento de secado al horno o impregnación de sales",51884,"PAQUETES","ARGENTINA"
"6855","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALMENDRA, sin cáscara secado al natural",16329.325,"CAJA(S)","EEUU"
"6856","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALMENDRA, sin cáscara secado al natural",16329.325,"CAJA(S)","EEUU"
"6857","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",82500,"GRANEL","BOLIVIA"
"6858","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",55500,"GRANEL","BOLIVIA"
"6859","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",54000,"GRANEL","BOLIVIA"
"6860","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",54980,"GRANEL","BOLIVIA"
"6861","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",53980,"GRANEL","BOLIVIA"
"6862","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano mondado, perlado, troceado o quebrantado",56000,"SACO(S)","CHILE"
"6863","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",3567329,"PAQUETES","CHILE"
"6864","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"6865","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22442,"CAJA(S)","CHILE"
"6866","2022",4,"SANTA ROSA, TACNA","KIWI, fruto fresco",21840,"CAJA(S)","CHILE"
"6867","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",115000,"SACO(S)","BOLIVIA"
"6868","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",98000,"PAQUETES","COLOMBIA"
"6869","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TURBA",48776,"BIG BAG","SUECIA"
"6870","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano aplastado o en copos (hojuelas)",26000,"SACO(S)","CHILE"
"6871","2022",4,"PUERTO DE MATARANI , AREQUIPA","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",318000,"SACO(S)","COLOMBIA"
"6872","2022",4,"PUERTO DE MATARANI , AREQUIPA","AZUCARES, los demas",211550,"SACO(S)","COLOMBIA"
"6873","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",98000,"PAQUETES","COLOMBIA"
"6874","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",181943,"PAQUETES","CHILE"
"6875","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR CRUDA, sólido",250000,"SACO(S)","GUATEMALA"
"6876","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CEBADA, grano",21500000,"GRANEL","AUSTRALIA"
"6877","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>28.57 mm = o <34.92 mm)",237160,"FARDOS","EEUU"
"6878","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","YUTE, tejido crudo",26195.4,"FARDOS","BANGLADESH"
"6879","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",176000,"SACO(S)","BOLIVIA"
"6880","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",85900,"SACO(S)","BOLIVIA"
"6881","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","COCO, fibra (para sustrato)",22310,"PALETAS","SRI LANKA"
"6882","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","GIRASOL, grano secado industrialmente",3000,"SACO(S)","BELGICA"
"6883","2022",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22579.2,"CAJA(S)","CHILE"
"6884","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",89184,"PAQUETES","CHILE"
"6885","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","NARANJA, fruto fresco",20340,"CAJA(S)","EEUU"
"6886","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","LECHUGA, semilla",0.013,"SACHETS","HOLANDA"
"6887","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","LECHUGA, semilla",0.171,"LATAS","HOLANDA"
"6888","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",168000,"PACAS","COLOMBIA"
"6889","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PERA, fruta fresca",23040,"CAJA(S)","CHILE"
"6890","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TOMATE, polvo",100,"CAJA(S)","EEUU"
"6891","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMIENTO, semilla",3.863,"BOLSAS","ESPAÑA"
"6892","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",163338,"SACO(S)","EEUU"
"6893","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",112000,"SACO(S)","BOLIVIA"
"6894","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MAIZ, almidon",27000,"SACO(S)","BRASIL"
"6895","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",98000,"PAQUETES","COLOMBIA"
"6896","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",112980,"GRANEL","BOLIVIA"
"6897","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",140950,"GRANEL","BOLIVIA"
"6898","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",119000,"SACO(S)","BOLIVIA"
"6899","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, almidon",1e+05,"BOLSAS","FRANCIA"
"6900","2022",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","CHIA, harina o polvo",1,"PIEZAS","PARAGUAY"
"6901","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","COCO, rallado seco industrial",50,"SACO(S)","ESPAÑA"
"6902","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","COCO, rallado seco industrial",60,"CAJA(S)","ESPAÑA"
"6903","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PISTACHOS con cáscara, secos o mondado",125,"SACO(S)","ESPAÑA"
"6904","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PISTACHOS sin cáscara, secas o mondado o rallado",200,"SACO(S)","ESPAÑA"
"6905","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MEZCLA DE FRUTAS, seca industrialmente",198.4,"CAJA(S)","ESPAÑA"
"6906","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, harina o polvo",100,"CAJA(S)","ESPAÑA"
"6907","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALMENDRA, harina, polvo",80,"CAJA(S)","ESPAÑA"
"6908","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",175,"CAJA(S)","ESPAÑA"
"6909","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","COCO, fibra (para sustrato)",46483,"PALETAS","SRI LANKA"
"6910","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","Esparcidores de estiércol usados
",2619.623,"UNIDADES","FRANCIA"
"6911","2022",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRACTOR AGRICOLA USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",5180.377,"UNIDADES","FRANCIA"
"6912","2022",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",115000,"SACO(S)","BOLIVIA"
